num_pingsvalue1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60, value61, value62, value63, value64, value65, value66, value67, value68, value69, value70, value71, value72, value73, value74, value75, value76, value77, value78, value79, value80, value81, value82, value83, value84, value85, value86, value87, value88, value89, value90, value91, value92, value93, value94, value95, value96, value97, value98, value99, value100, 
20, 53095, 49175, 45881, 45397, 48905, 49699, 49706, 49638, 49799, 44774, 49412, 50357, 50349, 50203, 50237, 50188, 50234, 50204, 52995, 52322, 52318, 52410, 52457, 50399, 50659, 50493, 49197, 49003, 49011, 49141, 49103, 51608, 52974, 53055, 53092, 53221, 52495, 52391, 50552, 50352, 50927, 51390, 49742, 45509, 45552, 45708, 45693, 45818, 45745, 49908, 50589, 50346, 54175, 55291, 52534, 50386, 52284, 53866, 54399, 54274, 52497, 52035, 51874, 51845, 51877, 49952, 49598, 49498, 49625, 49654, 49580, 49412, 49447, 49406, 49331, 49204, 50012, 52537, 51713, 51742, 51556, 51525, 51832, 41790, 41083, 41056, 41033, 40964, 40949, 41636, 42077, 41073, 40749, 40649, 40984, 40843, 40748, 40743, 40629, 40478, 
21, 50838, 50574, 50765, 50358, 49514, 48943, 48154, 47211, 49204, 48717, 48549, 49869, 49618, 50674, 50700, 48047, 47367, 48084, 50829, 50723, 50647, 50577, 46965, 49714, 50522, 50588, 50620, 50147, 48332, 48570, 50593, 50534, 50599, 50552, 50374, 48109, 49073, 49453, 49273, 48736, 47756, 47753, 43238, 40714, 45577, 49392, 43959, 50603, 50780, 50563, 50899, 51290, 50664, 50843, 50844, 51269, 44661, 44582, 44763, 44854, 44747, 44816, 48708, 50879, 50776, 50646, 50779, 50739, 51255, 50906, 50584, 48284, 43794, 43430, 43328, 48027, 50517, 50093, 53101, 51128, 51270, 51170, 51265, 51160, 51055, 45927, 45846, 44815, 44749, 44751, 44766, 44667, 44122, 44190, 45408, 48249, 48788, 48203, 48157, 49483, 
22, 52726, 49712, 49636, 49165, 49620, 49041, 49071, 49471, 49747, 49297, 48866, 49073, 49202, 49209, 48994, 49661, 50585, 50934, 50423, 53466, 51945, 49834, 49612, 48759, 44575, 44631, 44740, 45141, 45046, 49236, 50813, 50656, 50622, 50503, 51423, 51098, 50497, 50575, 50622, 49429, 50283, 49165, 46335, 44940, 44832, 44949, 45095, 46693, 49542, 49568, 50298, 52444, 51491, 51296, 50438, 50689, 50625, 51169, 51424, 51140, 50284, 50867, 51033, 49722, 50587, 52221, 52429, 52048, 51537, 47291, 44917, 44954, 44981, 45006, 44993, 44966, 44708, 44709, 44730, 44787, 44764, 44135, 44573, 44637, 44547, 44564, 44568, 45553, 53148, 55401, 46146, 45897, 47895, 48727, 48724, 41395, 41240, 41285, 41242, 41185, 
23, 56016, 49172, 47447, 47207, 46778, 46551, 46527, 46754, 46963, 46997, 46785, 46885, 47032, 46955, 46759, 46704, 46762, 46771, 46665, 46692, 46612, 46393, 46623, 46759, 46763, 46785, 46746, 46749, 46630, 46382, 46304, 46347, 46535, 46595, 46662, 46623, 46727, 46767, 46848, 46767, 45545, 44523, 44092, 44068, 44156, 44060, 44003, 43923, 43919, 44000, 43882, 43951, 44033, 43982, 43951, 43919, 44016, 44114, 43821, 43789, 43830, 43854, 43854, 43786, 43827, 43798, 43579, 43570, 43967, 43854, 43793, 43794, 43867, 43862, 44186, 44389, 46496, 46551, 48491, 50042, 50010, 49736, 49842, 49182, 45741, 45905, 46397, 50389, 50664, 50239, 48101, 48680, 48472, 48529, 48415, 48441, 48457, 48596, 50850, 50129, 
24, 46949, 45912, 45293, 45436, 45085, 44865, 44834, 44595, 45230, 47616, 47788, 46609, 46289, 46225, 46374, 46354, 46399, 46365, 46225, 46258, 46309, 46241, 46013, 46343, 45112, 45233, 45374, 45454, 46384, 48893, 48823, 51782, 49562, 49363, 49353, 49381, 49371, 45419, 44577, 46628, 47158, 46372, 46361, 46676, 46698, 46764, 46487, 46679, 47252, 47162, 47159, 48235, 49004, 48757, 48737, 48696, 48666, 48530, 48454, 48746, 48527, 48671, 48683, 48763, 49499, 49393, 49426, 48825, 48119, 48249, 48274, 48205, 48267, 48175, 48165, 48162, 48082, 48033, 48104, 48117, 48060, 48086, 48174, 48134, 48155, 47817, 48285, 48572, 47584, 48136, 48050, 47795, 45977, 45935, 45952, 45888, 46053, 46014, 45904, 46288, 
25, 57131, 53731, 53288, 48639, 48414, 48413, 48495, 48222, 48300, 47962, 48042, 48152, 46795, 51152, 51705, 51864, 51085, 56778, 55963, 56219, 53158, 52678, 52408, 52480, 53719, 52373, 52025, 51736, 54069, 53829, 52532, 52635, 48433, 48206, 48358, 48000, 47272, 47158, 47550, 47858, 47857, 47782, 47299, 47140, 47215, 47174, 55127, 51411, 51499, 47189, 46515, 45989, 45953, 45646, 45510, 45781, 45966, 45857, 45932, 45864, 45879, 45893, 45848, 45776, 45618, 45560, 45630, 45598, 45634, 45633, 45493, 45662, 45656, 45083, 44932, 44946, 44850, 45258, 46096, 46151, 44918, 44080, 44081, 44220, 44071, 44246, 44242, 44225, 47834, 49892, 49847, 49829, 50064, 49976, 49781, 51218, 51489, 46617, 45159, 45095, 
26, 52876, 49289, 47529, 48606, 47888, 43239, 40884, 41162, 51444, 49172, 42163, 42282, 51971, 52129, 52349, 51849, 51336, 51578, 51901, 53769, 52676, 53594, 54109, 54000, 52387, 52835, 52054, 50896, 51023, 51638, 52000, 51826, 51749, 51967, 51919, 52652, 52756, 51432, 48972, 45126, 46337, 47035, 49280, 50894, 51116, 52451, 51503, 52157, 51295, 50962, 50268, 50031, 49417, 48160, 48157, 48146, 48036, 47677, 48248, 47687, 47724, 50323, 50820, 50819, 50617, 51403, 51192, 50914, 46094, 44576, 44821, 53324, 55463, 51239, 50529, 50486, 50537, 50488, 46446, 41699, 40565, 39359, 41556, 40742, 39998, 40764, 40418, 44240, 52414, 52346, 52242, 51784, 50590, 50546, 50495, 50449, 50517, 47946, 47466, 54330, 
27, 57179, 46985, 45587, 44820, 44634, 48471, 48662, 48691, 48456, 48461, 49187, 50813, 50285, 49733, 48831, 49984, 50000, 49723, 49855, 50135, 49410, 45753, 45701, 49022, 50057, 50051, 49854, 49883, 49967, 50102, 46531, 39848, 42162, 49966, 45596, 45531, 45724, 49689, 49818, 49946, 48618, 49132, 50714, 49577, 51269, 52013, 51726, 50969, 50672, 50767, 51298, 46517, 44809, 44829, 44791, 44904, 44925, 44828, 44902, 44878, 46306, 47455, 47944, 49746, 48863, 49795, 50834, 50690, 49994, 49416, 49287, 49281, 45041, 44922, 44990, 45014, 45090, 44989, 45031, 46122, 46186, 45008, 44972, 45028, 46133, 45660, 44375, 44409, 44821, 43076, 41808, 41163, 40910, 40796, 40783, 40524, 40638, 40722, 40641, 42406, 
28, 53851, 51983, 51695, 51022, 48839, 50447, 50636, 50049, 49781, 52186, 52349, 52522, 52172, 52136, 51269, 51249, 51171, 49589, 48974, 49102, 48988, 49861, 49750, 49765, 46368, 45130, 44998, 45204, 45193, 48962, 49229, 49581, 49160, 48921, 49541, 49551, 49632, 49015, 48965, 48945, 48448, 48550, 50775, 50767, 50679, 50925, 50929, 51104, 50924, 51009, 51261, 51086, 50276, 50032, 49560, 50144, 49847, 50832, 54207, 53574, 53388, 53399, 53332, 54368, 48478, 48568, 48629, 48751, 48434, 48491, 48162, 47991, 48386, 48455, 48837, 46077, 50358, 50042, 48730, 46950, 44921, 44885, 44943, 45010, 45164, 45154, 45083, 47808, 48606, 48748, 49154, 48732, 48719, 49833, 49981, 50360, 50403, 50433, 50767, 51596, 
29, 53724, 50095, 49764, 49426, 48597, 49182, 49814, 48214, 48574, 47896, 48002, 49181, 48975, 49265, 49272, 48967, 48361, 48180, 48291, 48564, 48661, 49181, 49114, 49249, 49176, 49501, 49395, 49541, 49589, 49527, 49571, 49386, 49220, 49403, 49528, 49402, 49396, 49445, 49435, 51584, 50775, 50728, 49513, 48651, 48510, 48448, 49525, 50282, 50330, 50744, 49934, 49251, 50456, 50566, 50933, 51045, 51441, 51357, 51557, 50544, 50418, 50268, 49889, 49681, 50153, 50184, 50181, 50115, 49491, 49465, 49472, 49339, 49543, 49613, 49734, 49964, 49970, 49864, 49825, 49859, 49737, 49698, 49628, 49587, 46098, 44719, 44469, 44618, 44683, 44544, 44578, 44568, 44481, 44435, 44459, 44423, 44416, 44515, 44390, 44512, 
30, 51896, 44582, 43984, 44090, 43444, 43321, 42919, 42487, 42913, 43605, 43897, 44108, 44446, 44404, 44014, 44011, 43801, 43759, 44153, 43863, 44140, 44123, 44253, 44200, 44139, 44148, 44167, 44212, 44175, 44119, 44013, 44541, 46289, 46213, 46446, 45890, 44223, 44215, 44177, 45225, 50439, 50419, 50559, 50564, 47909, 44698, 44675, 44620, 45446, 46513, 50096, 50325, 51717, 51396, 54275, 51340, 47534, 47506, 47644, 47706, 47739, 47995, 50264, 50226, 48554, 46269, 44798, 44715, 44600, 45411, 49330, 48582, 45238, 45326, 45079, 44802, 44868, 44894, 44845, 46531, 50196, 49667, 49261, 44378, 44418, 44828, 45001, 45147, 45498, 45466, 45465, 45460, 45747, 48423, 48426, 48396, 49773, 49725, 49374, 49829, 
31, 52449, 47670, 43121, 44726, 45128, 46316, 47181, 45723, 45457, 42525, 42434, 42589, 42841, 42859, 47851, 50206, 48522, 47124, 47210, 48236, 50782, 49629, 49382, 49421, 49274, 49452, 49276, 43192, 43033, 43281, 44000, 43989, 43866, 43339, 43293, 43330, 43302, 43302, 43410, 47575, 48164, 48119, 47877, 47714, 45644, 44694, 43632, 43358, 43242, 43393, 43663, 43611, 43573, 43487, 43411, 45492, 50153, 50170, 49798, 48804, 48236, 49087, 49374, 49362, 49982, 50193, 50339, 50520, 50461, 43386, 38314, 38327, 38413, 49197, 48994, 48891, 48866, 49134, 50574, 48764, 48553, 48255, 48508, 48254, 48192, 49607, 48887, 47851, 48449, 49448, 50206, 49825, 48938, 48910, 48557, 48205, 49338, 48336, 49771, 48721, 
