num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60, value61, value62, value63, value64, value65, value66, value67, value68, value69, value70, value71, value72, value73, value74, value75, value76, value77, value78, value79, value80, value81, value82, value83, value84, value85, value86, value87, value88, value89, value90, value91, value92, value93, value94, value95, value96, value97, value98, value99, value100, 
50, 193746, 176291, 176865, 174357, 167099, 166410, 166908, 151483, 139310, 163617, 167778, 182248, 183085, 182871, 185226, 185133, 184532, 184288, 179945, 178035, 175142, 177536, 184475, 191274, 191333, 190083, 189639, 191259, 190267, 190745, 191529, 190542, 190077, 188872, 182894, 186773, 191589, 193297, 193291, 193725, 188936, 177251, 178601, 178674, 178809, 181015, 229467, 200183, 194025, 195503, 181671, 182730, 187069, 190999, 191026, 192385, 193183, 187063, 179249, 180718, 175318, 176382, 191685, 194206, 195110, 194449, 194041, 195407, 194675, 194613, 185808, 180013, 179896, 179971, 179711, 180000, 179423, 178434, 178671, 178735, 178844, 178512, 178480, 178529, 178776, 178387, 178925, 178997, 178663, 223480, 201319, 189701, 189175, 190900, 191863, 192903, 193635, 193596, 192875, 192742, 
51, 257688, 195581, 153516, 165778, 147374, 147810, 147751, 146802, 149119, 152270, 152365, 151874, 152071, 151668, 152420, 150653, 152060, 151677, 152574, 152742, 153162, 154364, 152635, 150911, 151131, 149963, 151878, 152114, 149943, 151979, 149962, 153162, 168281, 182502, 181975, 181338, 183547, 182925, 187300, 187511, 188682, 191487, 190810, 189215, 188923, 190880, 191050, 190756, 190457, 189663, 189937, 197027, 187125, 185747, 184295, 185776, 186361, 180889, 173522, 173722, 173863, 174310, 175817, 150039, 151583, 168676, 177483, 180148, 180682, 180421, 180442, 181110, 181469, 180898, 185357, 190914, 150545, 150333, 156973, 188016, 188044, 187732, 187951, 187922, 189695, 189635, 189690, 189404, 189058, 188216, 180674, 185925, 182673, 181842, 180791, 180970, 181310, 179636, 178811, 179955, 
52, 202434, 202791, 195131, 196759, 164099, 158691, 186325, 186057, 182645, 150501, 184237, 201423, 199621, 200796, 202717, 202969, 201198, 196707, 199959, 204276, 204261, 204292, 205452, 204651, 200717, 208976, 208876, 192716, 188600, 191279, 200532, 204274, 202531, 202598, 203460, 204382, 204024, 210706, 211873, 208025, 209194, 209229, 209525, 209686, 210057, 208983, 209124, 207122, 207649, 208532, 209406, 205703, 208971, 210971, 207596, 208201, 208801, 207412, 204441, 196592, 195830, 203753, 202656, 202201, 203297, 203209, 197703, 203919, 194801, 202493, 203111, 202085, 202770, 202862, 214944, 272377, 269818, 267417, 210158, 210644, 209845, 180080, 159018, 159089, 159543, 158490, 158719, 159099, 170500, 210554, 211421, 205307, 205391, 205623, 207221, 205096, 203977, 202104, 204180, 181772, 
53, 262390, 209629, 147345, 147607, 147483, 149811, 166614, 197990, 195354, 196799, 190277, 194478, 192654, 193062, 187185, 190044, 188253, 188451, 189755, 190484, 191196, 187025, 191287, 200864, 200388, 200601, 197949, 186290, 187661, 188055, 187345, 186542, 186675, 185375, 183013, 189584, 177744, 179419, 155684, 154547, 155918, 154432, 152026, 151141, 151201, 151075, 150756, 150932, 151812, 151757, 150448, 151897, 151076, 183960, 183148, 183185, 183509, 185016, 185754, 196515, 193127, 190219, 188800, 185141, 185613, 186569, 186306, 186050, 186179, 193328, 183895, 183428, 182468, 182970, 182621, 182626, 183385, 187497, 181672, 180791, 172405, 152768, 153136, 153230, 153968, 154349, 154241, 153791, 171603, 177574, 177839, 177348, 184002, 190515, 186526, 182226, 183514, 185461, 186705, 181762, 
54, 200690, 180365, 145333, 146575, 146700, 147428, 151735, 149888, 148158, 146508, 142559, 142767, 140950, 131213, 142605, 142270, 143018, 142729, 143234, 142698, 143294, 142402, 137638, 141262, 143011, 136503, 143401, 143104, 143047, 142888, 139502, 138742, 142208, 142092, 142868, 142452, 141863, 142450, 142190, 138580, 134371, 143613, 149134, 149348, 149079, 149421, 148999, 149397, 149553, 150236, 149747, 150875, 150643, 150682, 142901, 137371, 144734, 144253, 139764, 134995, 144537, 144228, 144610, 144207, 143679, 143761, 148764, 152910, 152836, 149225, 150970, 152409, 151376, 143720, 136131, 172795, 184415, 184581, 184689, 185409, 187317, 187968, 179307, 187342, 186376, 186753, 185369, 185914, 186305, 187328, 137247, 146175, 183697, 187896, 187750, 186596, 187815, 189344, 187175, 187925, 
55, 238488, 196446, 174665, 195453, 160805, 158968, 163253, 169640, 150577, 148881, 148538, 168301, 183275, 178222, 180778, 181493, 180763, 182182, 185557, 188938, 188971, 181064, 191567, 192081, 192036, 187508, 186996, 186962, 186022, 184934, 185741, 185446, 184788, 185470, 185012, 184655, 184952, 184321, 184165, 186399, 186725, 187370, 187653, 187837, 187790, 186793, 186653, 185390, 185924, 186624, 186774, 155994, 145413, 150203, 153323, 184822, 185570, 185880, 185445, 184384, 150314, 146011, 152029, 150960, 150966, 151359, 150943, 149984, 149913, 182662, 175891, 149505, 150196, 149963, 149774, 149572, 149628, 149482, 149036, 150327, 149825, 150303, 150118, 150137, 150192, 149338, 150157, 149130, 150668, 150142, 149872, 162734, 181444, 181382, 180516, 180335, 180790, 180998, 181052, 179786, 
56, 222780, 209572, 191016, 187158, 185831, 185498, 183220, 183338, 182624, 182372, 182129, 192012, 197352, 196996, 197265, 197316, 198016, 187596, 183580, 182758, 183028, 183678, 184698, 184391, 184826, 192050, 197983, 199166, 198548, 196667, 197121, 197475, 196720, 197188, 199449, 198724, 197263, 196828, 198955, 199401, 199518, 198758, 198570, 198059, 199169, 199733, 199716, 198187, 198801, 198388, 198821, 197369, 197664, 198438, 197891, 197510, 197508, 197493, 201220, 200264, 200611, 201025, 200911, 200495, 195435, 184491, 187048, 187821, 187464, 187442, 186840, 187633, 187829, 188531, 188627, 202052, 201985, 200991, 201167, 200538, 200801, 201428, 201931, 201082, 201650, 201094, 201302, 202623, 201064, 201244, 201521, 199484, 198986, 199647, 199285, 193536, 194587, 194258, 179393, 188448, 
57, 200148, 191490, 185519, 172857, 174827, 179554, 161347, 143692, 149095, 149614, 149379, 147535, 149197, 149012, 151322, 149399, 148496, 146410, 148026, 147728, 148437, 147649, 148197, 148723, 149247, 150399, 155151, 155081, 155178, 145516, 146596, 149396, 150006, 149531, 149638, 148758, 148914, 147076, 139404, 145959, 148251, 153306, 151933, 150862, 179538, 180245, 179121, 178535, 179645, 178917, 178868, 179989, 180084, 177770, 173673, 173055, 176153, 176400, 177831, 172069, 144364, 143814, 144207, 146683, 194503, 194114, 184923, 184297, 184572, 184226, 171404, 145151, 145535, 145064, 145987, 173935, 179424, 190735, 195665, 195435, 183271, 176652, 179409, 179777, 147596, 142263, 142721, 142357, 142838, 142085, 141742, 141929, 141367, 141702, 176773, 179169, 195045, 196882, 243141, 249607, 
58, 242763, 143880, 161117, 169287, 167633, 158690, 150213, 150141, 149634, 146273, 144921, 143179, 142641, 144015, 144325, 145534, 144104, 138199, 148889, 149995, 149544, 149957, 149571, 149777, 149373, 148082, 147351, 147340, 147211, 147964, 148854, 150580, 150930, 150871, 150610, 150249, 150737, 151779, 150952, 150773, 150428, 151412, 150141, 149940, 149967, 150021, 146725, 141302, 137588, 135494, 142599, 142547, 143466, 143664, 143600, 143196, 143678, 143839, 143445, 143777, 144557, 144019, 144010, 143858, 143872, 143934, 144337, 143809, 143547, 143894, 143102, 143098, 143825, 144009, 144294, 144192, 144269, 144106, 143867, 144648, 145588, 145570, 145194, 142622, 142314, 142366, 142948, 142824, 142321, 142899, 142235, 143179, 140241, 134983, 153939, 156704, 151834, 151496, 147990, 143363, 
59, 237543, 200181, 200719, 199875, 199358, 198661, 227789, 175305, 182468, 183747, 183988, 195551, 199177, 200906, 192657, 194579, 201998, 199613, 197659, 183588, 184693, 183942, 185004, 184629, 184053, 191963, 200629, 195935, 201477, 200969, 201764, 201232, 200539, 201220, 200023, 201300, 200990, 200579, 201285, 201140, 200723, 200500, 198683, 199606, 200666, 199813, 200064, 202133, 202994, 176705, 175884, 174492, 173851, 181764, 189648, 189301, 190255, 190422, 190681, 190471, 188749, 189757, 189878, 190696, 194190, 193670, 192216, 190902, 189384, 190698, 186213, 185622, 186296, 181395, 183992, 185220, 185006, 184623, 185813, 187237, 186128, 185004, 184892, 184787, 184509, 185138, 185692, 185464, 193221, 201725, 200065, 200352, 200837, 201511, 200591, 201645, 201059, 200164, 200222, 200805, 
