num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60, value61, value62, value63, value64, value65, value66, value67, value68, value69, value70, value71, value72, value73, value74, value75, value76, value77, value78, value79, value80, value81, value82, value83, value84, value85, value86, value87, value88, value89, value90, value91, value92, value93, value94, value95, value96, value97, value98, value99, value100, 
40, 49777, 43345, 41646, 43718, 44856, 43063, 42856, 45763, 45575, 45352, 45459, 45419, 45361, 45827, 46136, 47213, 47252, 48211, 48335, 48174, 48127, 48370, 48642, 47837, 44919, 44976, 44529, 44338, 44147, 44284, 44218, 43252, 43329, 44603, 44864, 45496, 45782, 45229, 45010, 44891, 44922, 44512, 43558, 43499, 43470, 43418, 43434, 43754, 43484, 43600, 43138, 43195, 44131, 44692, 44488, 44330, 44429, 44517, 44459, 44533, 44617, 44392, 44860, 44661, 41748, 44830, 45827, 45845, 45535, 45372, 45175, 44787, 44815, 44218, 44416, 44181, 44962, 45064, 44887, 44784, 44919, 44552, 44818, 44977, 45233, 45079, 45165, 45217, 45283, 45437, 45356, 45947, 45342, 45570, 45032, 45400, 45361, 45524, 45530, 45534, 
41, 46289, 42485, 42204, 42152, 41359, 41129, 40946, 40943, 40884, 40933, 40796, 41345, 41417, 41507, 41947, 41920, 41950, 42060, 42065, 43888, 43874, 43853, 43701, 43633, 43495, 42765, 42880, 42763, 42824, 43108, 42684, 43348, 43777, 43610, 43535, 43221, 45548, 45514, 45535, 45300, 44856, 43965, 42592, 42716, 42750, 44812, 44733, 44803, 44726, 44783, 44592, 44483, 45683, 46682, 46637, 46639, 46690, 46511, 46689, 46708, 46464, 46371, 46134, 46233, 46038, 46049, 46036, 45886, 45071, 45118, 45300, 45204, 45063, 45171, 45006, 45039, 45297, 45250, 45138, 44947, 44977, 45132, 45277, 45348, 45142, 45163, 45213, 45050, 44930, 44942, 44898, 44937, 45131, 45043, 44998, 44922, 44864, 44886, 44782, 44752, 
42, 52406, 48260, 46781, 46556, 46324, 46282, 46303, 45611, 45497, 45117, 44363, 44538, 44506, 44802, 45302, 45186, 45496, 45550, 45693, 49600, 51191, 51172, 51134, 50972, 51050, 52970, 52904, 51217, 50688, 50749, 50761, 50767, 50469, 50204, 50391, 50446, 50438, 50428, 50704, 48466, 47818, 47418, 47361, 47321, 46605, 46412, 46344, 46246, 46446, 46575, 46480, 46428, 46556, 46521, 46454, 46445, 46546, 46461, 46231, 46162, 46216, 46241, 46158, 46169, 46141, 46059, 46161, 46151, 46546, 46511, 48307, 48497, 48454, 48474, 48133, 48001, 47857, 47594, 47593, 47805, 46908, 46876, 46863, 46900, 46793, 46794, 46776, 46786, 46760, 46731, 46666, 46716, 46726, 46767, 46761, 46745, 46713, 46782, 46741, 46960, 
43, 52234, 51744, 48643, 43702, 42238, 42166, 44773, 42227, 42096, 42113, 41890, 41713, 41505, 41647, 42103, 41995, 43906, 44323, 43942, 44713, 46136, 45680, 45780, 45466, 45458, 45454, 45545, 45731, 45883, 45586, 45756, 45872, 43095, 46618, 46547, 46509, 46632, 46694, 47555, 47684, 47660, 47633, 47732, 47585, 47557, 47621, 47929, 48160, 47511, 46575, 46396, 46307, 46425, 46423, 46430, 48125, 48029, 47126, 47214, 47281, 46652, 42746, 42706, 42214, 42149, 42387, 42291, 42066, 42248, 42678, 43027, 43086, 42738, 42592, 42434, 42370, 42436, 42512, 42456, 42169, 42075, 41984, 42111, 41996, 42051, 42175, 42307, 42162, 42120, 42123, 42049, 42481, 42699, 42838, 42879, 44669, 46646, 46531, 47040, 46712, 
44, 52865, 49933, 49127, 48954, 48919, 48958, 48859, 48371, 48551, 48026, 47622, 47959, 47609, 47486, 47857, 47462, 48546, 48821, 48897, 49846, 49057, 48169, 48213, 48108, 49385, 49419, 49539, 49791, 49728, 49920, 50040, 50201, 50033, 49971, 49740, 49382, 49331, 49919, 50058, 50242, 49752, 49619, 49467, 49026, 49784, 50351, 49307, 49268, 49331, 49237, 49029, 48826, 47515, 47391, 47739, 47900, 47916, 47583, 47526, 47561, 47489, 47551, 47841, 47824, 47763, 47784, 47709, 47891, 47906, 47840, 47674, 47456, 47177, 51457, 53154, 50376, 50358, 50299, 49781, 49405, 49242, 49777, 49808, 49880, 49736, 49919, 49699, 49487, 49311, 49332, 49191, 49292, 49376, 49384, 49220, 49171, 49238, 49223, 49319, 49294, 
45, 53600, 51702, 51041, 50045, 42425, 42392, 40837, 43068, 41209, 40991, 41047, 43091, 43392, 43490, 44008, 44015, 44727, 44593, 45309, 45388, 45347, 45270, 45378, 45318, 45254, 45242, 45174, 45254, 45306, 45153, 45176, 44790, 44721, 44970, 44958, 46951, 46966, 46208, 45555, 45557, 45369, 45579, 45552, 45411, 45477, 45533, 45715, 45617, 45546, 45653, 50099, 50190, 50815, 50893, 50241, 50328, 50505, 49649, 49444, 49746, 49517, 45140, 45375, 44988, 45110, 45096, 47137, 50426, 50379, 50394, 50451, 50508, 50273, 50445, 50473, 50368, 50305, 50327, 46516, 46065, 46049, 46052, 46072, 45892, 46041, 45846, 45738, 45993, 45858, 45650, 45513, 45434, 45708, 48395, 48227, 48066, 47709, 47747, 48110, 47994, 
46, 55476, 53589, 53144, 51589, 48733, 48550, 48969, 48135, 49651, 48330, 47599, 47657, 47949, 47596, 48006, 48381, 47440, 48369, 48497, 48896, 49815, 50255, 48763, 48635, 49009, 48775, 47586, 47599, 47137, 46810, 46883, 47148, 47902, 47501, 46775, 46960, 47219, 48199, 49791, 49214, 50866, 50337, 49857, 51334, 50825, 47806, 47550, 47752, 47645, 48819, 49691, 49372, 49200, 49831, 49825, 49624, 49501, 49322, 49426, 49275, 49338, 49749, 49249, 49012, 49281, 49332, 49699, 49766, 49903, 49176, 49611, 49826, 49269, 49349, 49948, 50013, 49076, 48646, 50124, 49390, 48801, 48401, 48343, 48803, 46899, 46701, 46874, 46355, 47983, 47119, 46852, 47017, 46721, 46429, 46566, 46835, 46858, 47393, 47530, 47161, 
47, 43810, 42886, 42234, 44163, 44688, 44536, 44486, 44236, 42876, 41490, 40665, 41276, 39851, 41195, 40878, 40786, 41695, 40510, 40016, 41046, 40508, 40724, 41885, 40704, 41112, 41941, 41256, 41619, 41021, 40653, 41087, 41062, 40585, 40613, 40876, 40499, 40756, 40604, 40427, 41293, 40781, 39645, 39774, 40629, 40889, 41461, 40380, 41323, 40381, 40247, 40047, 39894, 40994, 40042, 40647, 40126, 40012, 41179, 40011, 40294, 40218, 40372, 41287, 40550, 40721, 40555, 40852, 40475, 40524, 40286, 40407, 39986, 40529, 40042, 39938, 39834, 40192, 40334, 39852, 40043, 41161, 39951, 40261, 40757, 39682, 42955, 42308, 42459, 43387, 42304, 42452, 42594, 42191, 42283, 42832, 42112, 42706, 42515, 42089, 42903, 
48, 53214, 46669, 46122, 45714, 44033, 41895, 41949, 41061, 44152, 43611, 43697, 43581, 45171, 44787, 44831, 44751, 44793, 45342, 45114, 45033, 45600, 45347, 45290, 45082, 45196, 45048, 45044, 45177, 45442, 45654, 45505, 45273, 45396, 45175, 45338, 45226, 45270, 45142, 45035, 45221, 50284, 50248, 50306, 50266, 50199, 50144, 50028, 49716, 49631, 49021, 48952, 44997, 44992, 44807, 44928, 44591, 46367, 49177, 49195, 46154, 45680, 45541, 45716, 45650, 46081, 46037, 46047, 45662, 45612, 48176, 48144, 48159, 48132, 47665, 47641, 47403, 47145, 45222, 42809, 42655, 42459, 42498, 42500, 44533, 46691, 46666, 46605, 46616, 46857, 46709, 46848, 46976, 44691, 42648, 42838, 42831, 42831, 42651, 42703, 42464, 
49, 59411, 52830, 46684, 47012, 48063, 47362, 47457, 47187, 46623, 46346, 46353, 46312, 46980, 47037, 47171, 47611, 47247, 47892, 48089, 48158, 48960, 48589, 48871, 49045, 49020, 46733, 44059, 44067, 43945, 44155, 43820, 43892, 43806, 43693, 43491, 43344, 43411, 43232, 43230, 44192, 47459, 48127, 50662, 51368, 51310, 51296, 51286, 51303, 49379, 42486, 42555, 47897, 50971, 50032, 46985, 46818, 46794, 46683, 50208, 52579, 52310, 51826, 50344, 50311, 50303, 50319, 50412, 50153, 50077, 50641, 50911, 50622, 50619, 50588, 50390, 50456, 50244, 53203, 57108, 56929, 56959, 57044, 56720, 54159, 54084, 54111, 53578, 53197, 53343, 53355, 53445, 53591, 54321, 54207, 53438, 53299, 53404, 53373, 53381, 53242, 
50, 49685, 41318, 41639, 41066, 41641, 50125, 49530, 51724, 43756, 43245, 43244, 43275, 43220, 43213, 43087, 43253, 43188, 43383, 43365, 43259, 43484, 43430, 43411, 43483, 43469, 43309, 43374, 43305, 43454, 43299, 43162, 43362, 43257, 43346, 43240, 43354, 43438, 43418, 44492, 44465, 44517, 44452, 44390, 44322, 44413, 44445, 44226, 44253, 44262, 44233, 44355, 44280, 44294, 44531, 44399, 44390, 44264, 44320, 44393, 43554, 43465, 43424, 43358, 43409, 43361, 43488, 43394, 43553, 43336, 43298, 43284, 43362, 43388, 43341, 43385, 43405, 43492, 43481, 43402, 43670, 43493, 43707, 43436, 43403, 43308, 43586, 43665, 43674, 43703, 44469, 44572, 44787, 44720, 44677, 44693, 44648, 44686, 44405, 44681, 44617, 
51, 49915, 48226, 47683, 47034, 45776, 45416, 45141, 44844, 44244, 44038, 43881, 43702, 44242, 44229, 44287, 45573, 46572, 47267, 47558, 47639, 47479, 47145, 47154, 46913, 46856, 46788, 46773, 47236, 47259, 46966, 46505, 46446, 47011, 46548, 46733, 46617, 47269, 47335, 47157, 47130, 47319, 47164, 47090, 47082, 47203, 47365, 47597, 47327, 47271, 47253, 47352, 47332, 47334, 47438, 47487, 47348, 48279, 49986, 49975, 48641, 46680, 46687, 46654, 46595, 46429, 46389, 46465, 46446, 46404, 46340, 46415, 46427, 46414, 46425, 46387, 45548, 45271, 45441, 45112, 45100, 45211, 45005, 45850, 45569, 45579, 45961, 45960, 46064, 46108, 47542, 50536, 50320, 50396, 50312, 50203, 50082, 50150, 49877, 49893, 49895, 
