num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60,
33, 19678880, 18012667, 19107054, 17213210, 18956232, 17546974, 17610747, 17864788, 18623855, 18910602, 18685906, 18090357, 17866538, 18929726, 18480858, 18339303, 18577855, 19206621, 18124557, 18131287, 19179715, 18579035, 18584985, 18030776, 19559479, 18426434, 17984191, 18392613, 19276894, 18794115, 18473366, 19181627, 18240133, 18290490, 18320353, 18905995, 18438803, 18439102, 19046025, 18885030, 19346362, 19303148, 18923138, 18689292, 18941283, 18546740, 18588990, 18448144, 18534732, 18576682, 18397842, 18916409, 18685973, 18403450, 18813360, 18771239, 18639896, 18363126, 19046027, 18985653,
34, 17855849, 18113120, 17794653, 18166679, 18508699, 18888906, 17881437, 17977099, 18267096, 18274054, 18482975, 18344497, 18195060, 18361835, 18463828, 18524929, 18669978, 18617515, 18379595, 18360383, 18462855, 18688801, 18536177, 18384351, 18148553, 18622465, 18526894, 18059967, 18042930, 19059534, 18583636, 18412174, 18355910, 18138003, 18325671, 19258669, 19576485, 19149420, 18618113, 18973351, 18556392, 18019035, 18674389, 18291931, 18591158, 18554027, 18457827, 18800609, 19818630, 19002723, 19069794, 19449225, 18492227, 18771994, 18308841, 19058562, 19526063, 19056891, 19104120, 18784023, 
35, 17117511, 17265881, 17242749, 16996845, 16783908, 17868111, 16559673, 18425313, 16217483, 17585600, 17083655, 17854424, 17031766, 18740601, 16673135, 18976191, 15723513, 17931035, 17928574, 18806069, 16031824, 17820157, 17836745, 15929636, 19514717, 16047714, 17028591, 18528586, 17560335, 18253753, 16660201, 18675450, 16305200, 18878684, 16705788, 18290923, 17092359, 18233425, 17545181, 17407666, 18428906, 17399719, 18817860, 17370010, 18653982, 17425786, 18494989, 17331052, 18551846, 17524118, 17884918, 17805307, 17060091, 18305506, 17140617, 17867958, 17772078, 17669752, 17973509, 17450997, 
36, 17915435, 18977768, 17264899, 17291564, 17941987, 18052828, 16513623, 17315639, 18501230, 18586329, 18749199, 17915357, 17932875, 17363426, 18929950, 18641774, 17541327, 17664365, 18481910, 18199217, 18268689, 17816176, 17615686, 18094869, 17389945, 18522334, 18625929, 17849388, 17698450, 19296705, 17757508, 17309989, 19105500, 18407251, 17192367, 18781314, 17761444, 19300282, 17933582, 16933100, 18801333, 18052276, 17261234, 18094319, 18583943, 18689952, 17864232, 18050070, 18149910, 18047862, 18482412, 18153864, 18343004, 18173093, 18289915, 17880965, 17735295, 18773182, 17721450, 18367275,
37, 18199808, 18853292, 18029218, 17112230, 17846387, 19279439, 18946126, 18558409, 19354427, 19258346, 19071613, 19412289, 19563341, 19247349, 18744136, 19136782, 19103945, 19076914, 19200266, 18927503, 18488209, 19856074, 17250751, 19629574, 18516149, 19005350, 19313682, 17874890, 20449715, 17199258, 18863781, 19431998, 17056274, 19407315, 18776844, 19074276, 19339573, 17402612, 20152852, 18355660, 17299200, 18904991, 19034216, 17430323, 19441512, 18813061, 17729711, 19827818, 17947550, 17567866, 19815578, 18259822, 19261965, 19382255, 18931790, 19495467, 18709879, 19638495, 18518741, 19156351,
38, 18273755, 17921229, 18156343, 16721329, 17562910, 16927936, 17103093, 16726994, 17113411, 17021309, 16841611, 18529959, 15458930, 18149859, 16677570, 16865655, 18543272, 15341371, 18387626, 15542112, 18321546, 18574887, 18261676, 15802058, 18520994, 18579948, 17630372, 17586869, 17382827, 18388645, 16945091, 17725809, 17749326, 18764737, 17335834, 17604429, 18271243, 18660461, 18512876, 18030451, 17882092, 18231902, 18033760, 18159663, 17900661, 18250973, 17996038, 18249092, 18339206, 16635723, 17575480, 15967680, 18022532, 17531990, 16649233, 17851268, 16354749, 17844925, 17422865, 16621662, 
39, 16792033, 17279607, 17028934, 17616100, 17239883, 17014731, 16640545, 17142214, 18094159, 18057907, 17784317, 17785546, 17596655, 17340052, 18364095, 17694156, 17852732, 17373151, 16935348, 18535696, 17220676, 17472021, 17119948, 18599547, 18290489, 17577999, 17850590, 17341355, 17326593, 17289437, 17440059, 18677939, 18429404, 16594405, 16330455, 18791389, 18549245, 18240405, 17298836, 18041021, 19566953, 18738511, 18360228, 16313236, 17976679, 18182052, 18638830, 18710050, 18573306, 18729394, 17745954, 17531639, 17766704, 17500779, 18953619, 19250731, 18981560, 18107365, 17744546, 18006840, 
40, 17385428, 17862751, 17119567, 17678290, 17072212, 17813862, 17355065, 18866248, 18232122, 17080993, 18006274, 18141178, 17839359, 16965027, 17732275, 18242189, 19275501, 18741697, 17235099, 18741444, 18341201, 18086212, 17946532, 18469606, 18250018, 18036881, 17613902, 17526580, 16919453, 18891513, 19136426, 18760830, 19256162, 18249729, 18075914, 18163462, 18115113, 17544911, 18714462, 18404841, 18190305, 18475799, 17983065, 18210663, 18573429, 17774810, 18371950, 17902120, 18786603, 18501591, 18305563, 18200273, 18454728, 18229256, 18366590, 17860025, 17683361, 17409828, 17517534, 18809398, 
41, 17249396, 16967883, 17123642, 18497166, 16707246, 16907554, 17229458, 17865440, 17202299, 16375605, 16645878, 17584426, 18319728, 18194585, 17598805, 17259674, 17568088, 17320031, 18219312, 17013004, 17589024, 17061179, 17562680, 17751308, 17571512, 17907705, 18033842, 17822124, 17620992, 17912554, 17593284, 17928250, 18413182, 18406187, 17988188, 17963093, 17560167, 18287169, 16947029, 18347115, 18200552, 17977806, 18389851, 17593353, 17374266, 17205592, 17564086, 17451104, 18523335, 16999689, 18365150, 17456554, 18201215, 17927362, 17305596, 18835960, 18162841, 18020106, 17809937, 18469816,
42, 17487089, 17837942, 17299174, 16897349, 16486374, 16931755, 17124951, 17117968, 17365641, 17481576, 16935103, 17037884, 17335086, 17062090, 17974765, 17476755, 17930190, 17715604, 17501300, 17594104, 17543182, 17586525, 17736294, 17541833, 17519219, 17571957, 17307422, 17698644, 17935982, 17579587, 17917360, 17491008, 17983172, 18774724, 18124501, 15852820, 18494070, 19465692, 17666699, 18094147, 18061172, 17791080, 17556207, 17924312, 17605977, 17713230, 17490350, 18005026, 17277368, 18877245, 17843272, 17958708, 17751177, 18841780, 17896720, 17873905, 17872121, 17729152, 17529108, 17728219, 
43, 18436044, 18686626, 18065499, 18421393, 18563686, 16522303, 17570851, 18165941, 18351916, 18228479, 19249517, 19244903, 18704384, 18633107, 18348316, 18703411, 17825658, 17892990, 18602860, 18608268, 17707379, 18058491, 18839124, 19207087, 18484421, 19053213, 16288777, 18641713, 18325435, 18946243, 16266232, 18994287, 17658002, 19014650, 16289585, 18430249, 18687868, 18799749, 17465271, 18537690, 18341071, 19639974, 17069535, 18335317, 18251337, 18816464, 19576146, 17842217, 17616959, 18807697, 17953427, 19007282, 18973149, 17718589, 18322410, 18207392, 19206250, 19322187, 17262559, 17923179,
44, 17365385, 17767052, 17737942, 16839305, 17458175, 16341600, 16995711, 16897171, 15627156, 18062970, 16412613, 16961859, 18111121, 15863671, 19212152, 15601430, 16188035, 18235679, 17047191, 15872176, 19775630, 15200440, 15644117, 19947552, 15335825, 15251029, 17688419, 18586306, 15249838, 20318831, 15325931, 19325391, 16161742, 17198282, 18415334, 16840783, 19081871, 15216764, 17610792, 17966416, 15952716, 18363633, 16561469, 16436149, 17781421, 17784035, 17158517, 18264537, 17386047, 18384398, 17425113, 17804655, 17953478, 16454884, 18508797, 17965108, 16586174, 17294333, 17883167, 16061733, 
45, 17129198, 18106980, 16310820, 17022006, 15931995, 15492388, 15074157, 18292196, 14935358, 17071535, 17880596, 15607453, 16290395, 16620594, 18209634, 17509565, 15708377, 16276470, 18735235, 16326465, 15825796, 17342405, 18017221, 15817704, 16678625, 16341465, 18716519, 16038037, 16507280, 17035828, 18648692, 15919160, 17014113, 18717583, 16138531, 16964328, 17647030, 18193062, 16285287, 18601594, 17400018, 16887070, 19535008, 15692904, 17111679, 18969271, 16655386, 16621290, 18103086, 18573790, 15730355, 18264447, 18290578, 15835052, 17707356, 18563865, 15676410, 17485452, 18879852, 15702501,
46, 16398255, 16847659, 17330722, 16228809, 16544926, 17362661, 16071355, 16492109, 18816444, 15741538, 17752226, 19051277, 15643976, 19164824, 16249270, 17772353, 19321460, 14992044, 19468294, 14829390, 19573112, 15122078, 19138412, 16215903, 17812473, 19331065, 14783743, 19468430, 15218630, 19061573, 16388567, 17754033, 19479809, 15047646, 19163180, 16119465, 17795268, 18465077, 15850299, 19081494, 15363689, 18982963, 16466257, 17903829, 16195216, 17675939, 16566285, 17633883, 17634360, 17032906, 18302923, 17681501, 16413450, 18021499, 17693057, 17408195, 17708610, 16789575, 17839309, 17860378, 
47, 16703010, 16067270, 15650013, 15976903, 14462918, 15059125, 17274427, 15077255, 15238674, 15268898, 15886900, 16093378, 15992308, 15808113, 16404183, 16353361, 16001341, 15720835, 16136556, 15892027, 16188025, 15876690, 16363511, 16222059, 15055767, 16428833, 16342269, 17122590, 16707547, 16624700, 16246843, 16014597, 16146927, 16143973, 15751571, 16225234, 14963301, 16836264, 16355478, 15180637, 14960622, 16150581, 16222260, 16264268, 16428676, 16236704, 16282299, 16649960, 16664821, 16763891, 16864121, 16835600, 15622510, 15822674, 15742717, 15785066, 15918187, 15866653, 15973059, 15867389,
48, 16894383, 18065312, 17871755, 16896951, 17201358, 17581362, 15719345, 17001187, 17694594, 18780810, 19161834, 17398891, 17173253, 17376151, 17318523, 17424773, 17396414, 17347077, 17348607, 17402668, 17393600, 17383984, 17433256, 17336822, 17365960, 17383205, 19837562, 19886533, 18022070, 17441186, 17540181, 18265244, 19411741, 19176457, 17615417, 19886259, 17399686, 17935589, 18773131, 19430679, 18752249, 17462922, 18241567, 19249906, 19508436, 16831362, 17150262, 17672949, 18755877, 17611276, 19649593, 18766967, 17742772, 18901270, 17696700, 19842571, 18765290, 17491629, 17772722, 18280838, 
49, 16741163, 16275494, 17485631, 17988352, 16646679, 17728144, 16343286, 18544580, 16311807, 18578666, 18138103, 15905380, 19807704, 16540875, 19142918, 17523907, 16030808, 20375571, 16541742, 17371543, 19428901, 15927258, 19852378, 17129156, 16117412, 19178360, 17857824, 16406459, 20090173, 16769141, 16315779, 19757453, 16766821, 17031081, 19993283, 15838812, 19076303, 17657932, 17023206, 18272799, 17684898, 17642326, 18301084, 17969127, 18266259, 17684767, 17999520, 18223492, 17097405, 17681162, 17652105, 17906774, 17352446, 17853150, 17832897, 16949186, 18196063, 17917525, 17961318, 17809594, 
50, 16437677, 16786517, 16488620, 16235301, 15517701, 16822858, 14974275, 15957818, 16654511, 17885255, 15430902, 16234279, 17016218, 18326712, 16541643, 15952178, 16146966, 16428088, 16555371, 16918480, 18734146, 15905621, 15951582, 16055294, 17995150, 17861456, 16246905, 15997804, 15997771, 16391893, 17403146, 18219409, 16066685, 16345134, 17312501, 15815690, 17456907, 17784900, 16787339, 15753769, 16494847, 18472781, 17226928, 15677853, 16176499, 16580680, 17982672, 17694078, 16278435, 16016897, 15760196, 18194699, 18380037, 16035955, 15803801, 17104899, 17306153, 18216075, 16383550, 15995928, 
51, 16955577, 17080050, 17474102, 16476963, 17261348, 17486798, 17840567, 16966612, 17477983, 17556304, 17517977, 18145473, 17409078, 17370933, 17397231, 17553289, 17686439, 18519814, 18520269, 17356572, 17332254, 17109356, 17328941, 17913960, 18705734, 18167684, 16170010, 17871338, 17917491, 17418717, 18403032, 18042048, 18487246, 18463697, 17227356, 17637257, 16928635, 17825580, 17195359, 18456804, 17578095, 17551758, 18080442, 17681304, 18331688, 17861880, 18467829, 17946241, 17862895, 18587708, 18251548, 18331793, 18257360, 18040213, 17951000, 17174839, 17742051, 17248886, 17891517, 16628929, 
52, 17837589, 17710587, 18275911, 16579858, 18500930, 14393322, 16906447, 16414452, 17820981, 17757642, 17851540, 15542288, 16949638, 17260563, 18348427, 18697047, 15789203, 17201671, 16957815, 18238109, 17445067, 17389229, 16933186, 17531542, 18230739, 18034405, 18090715, 16740960, 16567340, 18292447, 17649664, 17793446, 16722130, 17509696, 18046577, 17398068, 18211874, 17454293, 16844931, 17852470, 17321343, 18467525, 18328406, 17678819, 17109241, 17938497, 18208639, 17001967, 16654825, 18589086, 17360909, 17749825, 17638495, 17119294, 17319875, 17426177, 18923986, 17145500, 17516405, 17250937,
53, 17464158, 17350024, 15764430, 15329866, 14855307, 16610878, 14378799, 16139622, 16059691, 16071009, 16348384, 16381610, 16663377, 16692323, 16284359, 16583851, 17286706, 17616339, 17661289, 16963401, 16945351, 16584359, 16757665, 16848015, 16228900, 16937649, 16358067, 16348367, 16761751, 17856150, 16751513, 17145069, 16522944, 16999679, 16353640, 16925119, 16432127, 16788856, 16135887, 16510914, 17114769, 17595889, 16055520, 16784137, 17448392, 16587850, 16838063, 16612338, 16402793, 16644003, 16586593, 16965395, 16638795, 16487669, 16515797, 16605899, 16661397, 16765590, 16862751, 16758179,
54, 16468808, 17830031, 17298734, 17002898, 16141697, 16832074, 16253857, 15326801, 17351840, 17013839, 15512138, 17310624, 17645131, 15599163, 17696562, 17370168, 14755906, 18645391, 15256988, 17301487, 17664580, 15012080, 18624747, 15189095, 17183018, 18659202, 14489781, 18089310, 17136691, 15774616, 18500522, 14347037, 18539286, 18482179, 14400630, 18458744, 15301484, 17555428, 18360567, 14904150, 18140958, 18299906, 14782695, 18942739, 18340108, 15610036, 17540334, 18755151, 15990623, 17084940, 18787516, 16084533, 16737599, 18785384, 16265228, 16977223, 18639436, 16121516, 16645620, 18112220, 
55, 18664155, 18156133, 15961652, 16605866, 15652212, 17166555, 15512081, 16217109, 16938324, 16401959, 16981889, 16388531, 15670805, 16575721, 15809822, 16738841, 17361623, 17354505, 16819562, 16823718, 16768527, 16266016, 16757567, 16464034, 14933525, 17261965, 17450358, 17488515, 16913936, 16862434, 16762851, 17257121, 17341505, 17053348, 14555128, 17043074, 17231696, 17237957, 17108761, 16752843, 16556730, 17438730, 16584585, 15565071, 17949791, 17800943, 17863509, 16811560, 18270722, 17046007, 17246176, 17700643, 17462976, 16934430, 17561475, 17304352, 16098765, 15809034, 16697539, 17218661,
56, 17043239, 16965103, 19536757, 16456895, 13013627, 18139432, 15874582, 16239922, 15238295, 17888354, 18066760, 18374818, 18295500, 18686172, 15249062, 17772438, 17388649, 19693019, 16798034, 17887591, 17840475, 18306338, 18372348, 15556203, 19251468, 19024530, 15645292, 19357383, 18530940, 16080185, 18370847, 17780908, 18692317, 16994816, 17751014, 18347811, 17744111, 16123915, 17756064, 17303327, 17981600, 17860252, 17666628, 17486977, 17574309, 17825130, 17472379, 17495246, 17475827, 17712227, 17928667, 17604866, 18054661, 17731160, 17620305, 17609465, 17262601, 17427094, 18770985, 17765721,
